SSR002;CAPR CALETA TUBUL
SSR001;CAPR CALETA LAS PEÑAS
SSR007;CAPR RUMENA
SSR011;CAPR HUENTELOLÉN
SSR012;CAPR HUILLINCO
SSR009;CAPR CAYUCUPIL
SSR005;CAPR PUNTA LAVAPIÉ
SSR006;CAPR HORCONES
SSR008;CAPR PICHILO
SSR010;CAPR DE COLLICO
SSR004;CAPR LLICO
SSR003;CAPR LARAQUETE -  EL PINAR
SSR016;RESP MUNI CAÑETE
SSR017;CAPR LA CURVA DE CAYUCUPIL
SSR018;CAPR PELECO
SSR015;CAPR LLENQUEHUE
SSR014;CAPR LLONCAO - PAICAVÍ
SSR013;CAPR LAUTARO ANTIQUINA
SSR019;CAPR PONOTRO
SSR021;CAPR CALEBU - ELICURA
SSR020;CAPR PELECO
SSR023;CAPR SAN JOSE DE COLICO
SSR022;CAPR PLEGARIAS
SSR025;CAPR PEHUÉN
SSR024;CAPR PICHARAUCO
SSR026;CAPR SANTA ROSA
SSR027;CAPR ISLA MOCHA
SSR028;CAPR TEMUCO CHICO
SSR029;CAPR SARA DE LEBU
SSR030;CAPR DE PANGUE
SSR032;CAPR QUIDICO
SSR031;CAPR VILLA LOS RIOS
SSR033;CAPR TIRÚA
SSR034;CAPR TRANAQUEPE
SSR036;CAPR DE RALCO
SSR035;SAN RAMON
SSR037;CAPR AGUA Y SOL
SSR038;CAPR LOS CANELOS
SSR042;CAPR CHILLANCITO
SSR041;CAPR SECTOR CHARRRUA
SSR040;CAPR VILLA PELUCA
SSR039;CAPR MARRIHUE
SSR046;CAPR SECTOR QUINEL
SSR044;CAPR LAGUNA COIHUICO
SSR043;CAPR EL PROGRESO
SSR045;CAPR SALTO DEL LAJA
SSR049;CAPR LOMAS DE ANGOL
SSR050;CAPR LA QUINTA PONIENTE
SSR048;CAPR SECTOR NOGALES DE MEMBRILLAR
SSR047;CAPR PUENTES NEGROS
SSR052;CAPR COLICHEU
SSR051;CAPR LOS LEONES
SSR053;CAPR LAS PLAYAS
SSR056;CAPR VIOLETA PARRA
SSR055;CAPR VILLA LAJA
SSR054;CAPR PUENTE PERALES
SSR067;AGUAS CRISTALINAS
SSR068;CHACAYAL NORTE Y SUR
SSR065;CACHAPOAL
SSR064;CERRO LA CRUZ DE LAJA
SSR063;LAS CIÉNAGAS
SSR062;LOS CIENOGOS
SSR066;BUENA VISTA DE LA COLONIA
SSR059;SANTA AMELIA
SSR058;CAPR SANTA ANA
SSR060;CAPR QUIYALLAL
SSR061;CAPR LOS CHIRRILLOS
SSR057;CAPR SANTA ELENA
SSR070;EL PERAL
SSR069;EL ALAMO
SSR073;MILLANTÚ
SSR072;LOS TRONCOS
SSR071;LAS ENCINAS
SSR079;SANTA FE
SSR075;NATRE RARINCO CENTRO Y SANTA CLARA
SSR077;SALTO DEL LAJA ORIENTE
SSR078;SAN CARLOS DE PUREN
SSR076;SALTO DEL LAJA
SSR074;PARAGUAY
SSR084;PATA DE GALLINA
SSR083;SAN LUIS SANTA LAURA
SSR081;LAS DELICIAS
SSR082;LA MONTAÑA
SSR080;VIRQUENCO
SSR086;CANTARRANA
SSR085;LLANO BLANCO PEJERREY
SSR091;SAN JOSE DE BIOBIO
SSR093;LA CAPILLA CERRO COLORADO
SSR092;VILLA DUQUECO
SSR090;SAN ANTONIO LAS QUINTAS
SSR089;PEÑAFLOR
SSR088;EL PINO SAN MIGUEL
SSR087;SECTOR DIUTO
SSR097;SANTA LUISA
SSR096;DICAHUE
SSR095;EL OLIVO
SSR094;LAS VEGAS
SSR102;AGUA PURA
SSR104;VILLA SAN FRANCISCO
SSR103;VILLA CACHAPOAL
SSR100;MESAMÁVIDA
SSR101;BELLAVISTA - LAS VIÑAS
SSR099;LOS ROBLES
SSR098;LA PERLA
SSR122;COIGUE
SSR121;MILLAPOA
SSR120;MALVÉN - SAN LUIS
SSR118;SANTA ADRIANA
SSR119;BUREO
SSR115;UNION LOS TILOS
SSR117;MUNILQUE IZAURIETA
SSR116;VILLA LA VICTORIA
SSR106;LUANCO
SSR105;RINCONADA DE TOLPAN
SSR114;VALLE LOS MAITENES RÍO HUALQUI
SSR108;EL AROMO 1
SSR107;VILLA LAS DELICIAS
SSR113;CORTE LIMA
SSR112;LAS GREDAS
SSR111;LA HUERTA
SSR110;MANZANARES
SSR109;EL CIPRÉS
SSR126;CAMPAMENTO
SSR125;MIRAFLORES
SSR124;SANTA AMELIA
SSR123;RIGUE
SSR130;CANTERAS
SSR129;AGUA PURA SAN RAMÓN
SSR128;RUCALHUE
SSR127;LONCOPANGUE
SSR135;EL HUACHI
SSR133;SAN LORENCITO
SSR134;BAJO DUQUECO
SSR131;VILLA MERCEDES
SSR132;LAS AGUILAS
SSR136;LOS JUNQUILLOS
SSR137;VILLUCURA
SSR143;LOS ALPES
SSR142;LOS AROMOS
SSR144;BAJO MININCO
SSR139;LOS NOTROS
SSR140;UNION AGUILA NIEVE
SSR138;LOS NARANJOS, LOS BOLDOS, MANIL BAJO
SSR146;TRUPAN
SSR149;LA AGUADA
SSR148;CERRO PARRA
SSR147;CAMBRALES
SSR141;ALTO RINCONADA BAJO
SSR145;COOPERATIVA POLCURA
SSR152;RERE
SSR150;OBRAS DE RIO CLARO
SSR151;PUENTE TAPIHUE-MISQUE
SSR167;CALETA CHOME
SSR168;QUILACOYA
SSR155;PUENTE PERALES
SSR159;CHAIMAVIDA SOTO
SSR158;CAMBRALES NORTE
SSR163;ANDALIÉN
SSR157;CANCHILLAS
SSR165;ISLA SANTA MARIA PUERTO SUR
SSR160;JUAN RIQUELME GARAY
SSR156;MONTERREY
SSR164;ISLA SANTA MARIA PUERTO NORTE
SSR166;COPIULEMU
SSR162;LOTATO
SSR161;PUENTE 5
SSR153;RIO CLARO
SSR154;TOMECO
SSR171;HUALLEREHUE
SSR170;UNIHUE
SSR169;TALCAMAVIDA
SSR179;SAUCE DE CARRIZAL
SSR172;LA GENERALA
SSR173;SONADORA DE PODUCO ALTO
SSR176;DIÑICO
SSR175;EL COIGUE SAN JORGE
SSR174;NUEVA ESPERANZA
SSR181;COLIUMO
SSR180;CALETA TUMBES
SSR178;ADELANTO PASO LARGO
SSR177;AGUAS CLARAS DE COLICO ALTO
SSR188;LAS CAMELIAS
SSR183;QUIEBRAFRENOS
SSR187;EL POLIGONO
SSR184;SANTA ROSA NEGRETE
SSR182;SANTA LAURA DE TUCUMAN
SSR186;SANTA ELENA Y VILLA FRANCISCO
SSR185;AGUAS CRISTALINAS
SSR189;AGUA DE LOS CAMPOS RAFAEL
